"Simulation","TargetYear","Quantile","Target_spatial_SD","N","RMSE","MAE","R2_predictive","Bias"
1,2009,0.287577520124614,0.0736968936615287,22733,0.0410347570762102,0.0332357102642358,0.689955185050904,3.50444398508474e-18
1,2016,0.310591692570597,0.0628190974971467,22733,0.0319888864083128,0.0274294183863212,0.740681224247999,6.92047819370116e-18
1,2024,0.991123388987035,0.106410615150121,22593,0.0368545360206941,0.0299022678411395,0.880041448951274,-2.22180009025854e-17
2,2009,0.788305135443807,0.10408038127843,22733,0.0532738055936081,0.0414102169574201,0.737995470963164,3.89790336435466e-18
2,2016,0.324520057067275,0.0636466948213996,22733,0.0315185181375584,0.0269819063975522,0.754755670393983,3.05540124041387e-18
2,2024,0.302230653585866,0.0553938205433155,22593,0.0369491383115394,0.0319316618351866,0.555056145325457,-1.03855415617367e-17
3,2009,0.4089769218117,0.0807284666814103,22733,0.042203195005678,0.0333972446960411,0.72668947385582,9.79184365081018e-18
3,2016,0.870254177832976,0.0962346354628588,22733,0.0309529052473993,0.0247471346630476,0.896543178850961,1.61912849135497e-17
3,2024,0.433759008767083,0.0619583685754719,22593,0.0322903074819408,0.0275778144067299,0.728378816976518,-1.00082698703064e-17
4,2009,0.883017404004931,0.113086521416242,22733,0.0596363497602303,0.0475690951448813,0.721888133054541,2.58196239684358e-18
4,2016,0.328673779498786,0.0638884341782752,22733,0.0313845865119411,0.0268540546675597,0.758672152918583,6.87909419010039e-18
4,2024,0.160520911449566,0.0457681973149928,22593,0.0448794854300074,0.0393515784847676,0.0384157386331868,-2.079372045671e-18
5,2009,0.940467284293845,0.120607090662792,22733,0.0654721198079274,0.0532042317588509,0.705295866890816,-2.25657833977874e-18
5,2016,0.125701236305758,0.0489624101644784,22733,0.041891926752395,0.0366986203117844,0.267927319528776,-1.00818628434302e-18
5,2024,0.823026711354032,0.0842068233312201,22593,0.0260776585292725,0.0203394784123915,0.904090452230849,-4.40978706615621e-18
6,2009,0.0455564993899316,0.0522403376557075,22733,0.0456915076456202,0.039843117439371,0.234970590795267,3.50425082893295e-18
6,2016,0.356221430702135,0.0654344456100169,22733,0.0305663122302861,0.0260685784763829,0.781781111072307,6.31435806444086e-18
6,2024,0.208090552128851,0.0493508633802505,22593,0.0418189842708049,0.0364775907840052,0.281913646658075,-9.30180367712875e-19
7,2009,0.528105488047004,0.086997491345306,22733,0.0441744252631214,0.0344648682006258,0.742161680999576,6.78800198738218e-19
7,2016,0.930699186166748,0.102979035829708,22733,0.0351743116610972,0.0286006937080965,0.883326378982348,9.73524174440514e-18
7,2024,0.284965965198353,0.0543722298631103,22593,0.0377423801028897,0.0326704976632453,0.518137085999288,-7.48452393793288e-18
8,2009,0.892419044394046,0.114160771938946,22733,0.0604446870086168,0.0483557334674534,0.719649343632777,-7.11547201165413e-18
8,2016,0.875178548740223,0.0967135040289459,22733,0.0312202881305104,0.0249902205898386,0.895787771944445,-7.49333164702343e-18
8,2024,0.546208890154958,0.0672072389724004,22593,0.0293253847538554,0.0246603149102234,0.809596664235426,-9.16183227927759e-18
9,2009,0.551435014465824,0.0882805782727962,22733,0.0446760840603791,0.0347675935223661,0.743882670532506,-1.70509904543797e-18
9,2016,0.820216695778072,0.0918176004386691,22733,0.0287744384873067,0.0228277492589213,0.901784294187509,8.70984757196569e-18
9,2024,0.589045403990895,0.0693815408905799,22593,0.0283238793635046,0.0235947883199507,0.833337914023261,-5.01796819451434e-20
10,2009,0.456614735303447,0.083226571499767,22733,0.0428968956377814,0.0337328038609011,0.734327364212437,9.12118403001223e-18
10,2016,0.0217720207292587,0.0352422906826018,22733,0.054193397823778,0.0480737163417405,-1.3647411522703,-2.29781002425364e-19
10,2024,0.44225317821838,0.062338350939555,22593,0.0320519361782851,0.0273508623511584,0.735626973685957,-3.49536369323534e-18
11,2009,0.956833345349878,0.123394585487926,22733,0.0677280141174596,0.0553674029558761,0.69872466292102,1.25044162701607e-17
11,2016,0.631236867746338,0.0792558825915825,22733,0.026284213840599,0.0213613480346425,0.89001180500172,-9.65947385922297e-19
11,2024,0.871179825160652,0.0883903927796084,22593,0.0270124107706025,0.0210801161810546,0.906602385050188,5.53167213847548e-19
12,2009,0.453334156190977,0.0830561738536931,22733,0.042845726021868,0.0337060614313306,0.733872180219756,4.74898722534782e-18
12,2016,0.780916299670935,0.0887794474275095,22733,0.0276217605703038,0.021894304503146,0.903195188822099,-1.33982561992094e-17
12,2024,0.116137131582946,0.0419269544999125,22593,0.0482791342465261,0.0425462221301954,-0.326024462046038,5.17123718108748e-19
13,2009,0.677570635452867,0.0959259559497177,22733,0.0483334486347603,0.0371723947662947,0.746111868179211,8.43315108645081e-18
13,2016,0.717244555940852,0.0844067610366929,22733,0.026548921119272,0.0211779527152824,0.901063079534283,-6.79966915549496e-18
13,2024,0.916280787903816,0.0931137391515179,22593,0.02880185834327,0.0226347057030022,0.904317456988687,1.51669076940537e-17
14,2009,0.572633401956409,0.0894770530905861,22733,0.045174676993339,0.0350727774408727,0.745090587533498,1.60209256588811e-18
14,2016,0.185785830020905,0.0541731128683678,22733,0.037797934939464,0.0328811592286033,0.513158414837056,7.20609682417789e-18
14,2024,0.105965461116284,0.0409517517869771,22593,0.0491601462412261,0.0433728736116111,-0.441121464586021,-6.6369448225745e-18
